theta,tx,ty
-3.14216e-05,2.29806,-1.23629
-5.50312e-05,2.30845,-1.27468
-5.094e-05,2.31212,-1.26108
-4.18013e-06,2.25274,-1.27059
-7.47964e-05,2.27892,-1.29681
-6.87947e-06,2.24978,-1.24598
-4.52243e-05,2.23535,-1.29106
-3.48835e-05,2.25552,-1.36446
-6.79857e-05,2.30183,-1.32325
-5.20905e-05,2.25789,-1.37995
-6.3699e-05,2.24967,-1.38862
-4.26515e-05,2.22185,-1.40571
4.56068e-06,2.2266,-1.44291
-3.42491e-05,2.20422,-1.39061
-4.70057e-05,2.24464,-1.46513
-4.64011e-06,2.24392,-1.48173
-8.01681e-05,2.27079,-1.48577
-0.000118144,2.22972,-1.49301
1.30491e-05,2.29266,-1.45205
-1.03504e-05,2.22491,-1.44295
-6.7133e-05,2.15514,-1.45601
-5.57316e-05,2.26824,-1.45557
-1.48459e-05,2.26469,-1.48356
-9.4245e-05,2.17526,-1.42145
-3.40592e-05,2.29543,-1.51609
-2.53295e-05,2.3142,-1.4705
-3.73357e-05,2.24041,-1.5024
-1.44489e-05,2.2402,-1.53782
-9.92082e-05,2.29742,-1.55452
-1.88193e-05,2.29487,-1.57364
-1.65735e-05,2.2252,-1.57698
-9.57152e-06,2.13134,-1.57421
-4.66702e-05,2.27213,-1.55213
-8.47374e-05,2.18863,-1.619
-2.46991e-05,2.1957,-1.63707
-3.50853e-05,2.20741,-1.56221
-1.69062e-05,2.1962,-1.70563
-7.78335e-05,2.16322,-1.65245
-1.11743e-05,2.23323,-1.67803
-6.19977e-05,2.18292,-1.58349
-4.02005e-05,2.25407,-1.66418
-1.5404e-05,2.21139,-1.63151
-5.77723e-06,2.34119,-1.54612
-7.16326e-05,2.37943,-1.58339
4.4933e-06,2.24854,-1.5233
-0.000109245,2.33306,-1.64307
-9.07159e-05,2.3297,-1.52848
1.02123e-05,2.28069,-1.5276
-1.18721e-05,2.3355,-1.62122
-5.77652e-05,2.27775,-1.54977
-7.49711e-05,2.28084,-1.57915
-8.96507e-05,2.32358,-1.5829
-6.02874e-05,2.45424,-1.50413
-4.86917e-05,2.41572,-1.4865
-0.000138043,2.37746,-1.49759
-0.000115019,2.46862,-1.42164
-9.20475e-05,2.42307,-1.47588
-0.000120115,2.41685,-1.3959
-0.000128844,2.46164,-1.34698
-7.90491e-05,2.44272,-1.39589
-0.000112843,2.46169,-1.312
-6.10895e-05,2.48994,-1.32813
-0.000109703,2.55022,-1.33613
-8.10837e-05,2.51946,-1.28847
-7.09098e-05,2.50455,-1.28219
-7.26318e-05,2.54356,-1.2814
-0.00014784,2.54829,-1.29585
-7.97613e-05,2.62881,-1.26792
-0.000180307,2.50643,-1.19986
-0.000162437,2.6136,-1.13445
-0.00010249,2.53054,-1.06052
-0.000130039,2.5968,-1.10099
-0.000110113,2.60794,-1.06948
-0.000118859,2.60208,-1.08357
-8.53601e-05,2.57343,-1.03727
-0.000116039,2.619,-0.987422
-7.84293e-05,2.54937,-0.951139
-9.12903e-05,2.55219,-0.944527
-0.00014621,2.51016,-0.903334
-0.00012116,2.62145,-0.850814
-7.36172e-05,2.55172,-0.800807
