x,y,z
1.9159385,-0.033411123,-1.0854869
1.9117045,-0.033100225,-1.0850811
1.9102275,-0.03334281,-1.0849687
1.9097936,-0.034191288,-1.0850003
1.9085524,-0.035279408,-1.0849795
1.9068089,-0.034372367,-1.0847476
1.9055107,-0.035463504,-1.0847219
1.9043597,-0.036586702,-1.0847121
1.9018564,-0.03581348,-1.0844231
1.8996028,-0.037152436,-1.0843323
1.8982786,-0.038228195,-1.0843031
1.8956618,-0.03753809,-1.0840108
1.8944436,-0.038684603,-1.0839969
1.8921576,-0.039928682,-1.0838953
1.8904352,-0.038866803,-1.0836524
1.8877785,-0.038079426,-1.0833485
1.8873332,-0.03894376,-1.0833805
1.8857527,-0.03896457,-1.0832403
1.8827419,-0.04031995,-1.0830829
1.8814864,-0.04135911,-1.0830568
1.8795332,-0.040466562,-1.0828073
1.8777208,-0.039620176,-1.0825741
1.874758,-0.040862016,-1.0824116
1.8728318,-0.039079,-1.0820904
1.8714433,-0.03996272,-1.0820394
1.8687133,-0.039313026,-1.0817403
1.8670262,-0.038388416,-1.081512
1.8638818,-0.039411776,-1.081315
1.8619726,-0.038339335,-1.0810544
1.8613222,-0.038993075,-1.0810504
1.8587569,-0.03793832,-1.0807325
1.8570864,-0.03700129,-1.0805047
1.8556795,-0.037582166,-1.0804267
1.853922,-0.036484905,-1.0801777
1.8523842,-0.036278494,-1.0800225
1.8506646,-0.036065593,-1.0798504
1.8488348,-0.034976687,-1.0795956
1.8470707,-0.033794183,-1.0793388
1.8453985,-0.03354867,-1.0791683
1.8435273,-0.032289803,-1.0788958
1.8420742,-0.032183327,-1.0787565
1.8399354,-0.030939493,-1.0784609
1.8382909,-0.029809354,-1.0782194
1.8366337,-0.029553968,-1.0780494
1.835356,-0.030237613,-1.0779917
1.8334517,-0.02836435,-1.0776649
1.8317122,-0.027373886,-1.0774263
1.830395,-0.02845493,-1.0773981
1.8284616,-0.026136883,-1.0770316
1.8265291,-0.024580268,-1.0767287
1.825258,-0.025652066,-1.0767038
1.823405,-0.024270304,-1.0764226
1.8214319,-0.022735648,-1.0761178
1.8195658,-0.021263853,-1.0758278
1.818193,-0.021686187,-1.0757397
1.8162836,-0.020204522,-1.0754452
1.8148267,-0.02055289,-1.0753434
1.8129678,-0.019103445,-1.075056
1.810951,-0.016952358,-1.074696
1.8095379,-0.01729383,-1.0745976
1.8080089,-0.016787685,-1.0744183
1.8064289,-0.017087756,-1.0743015
1.8044741,-0.015810726,-1.0740197
1.8007264,-0.014774693,-1.0735972
1.7991474,-0.014961734,-1.0734711
1.7972815,-0.013621859,-1.0731921
1.7954359,-0.012249131,-1.0729122
1.793922,-0.01215005,-1.0727681
1.7919658,-0.010329863,-1.0724411
1.7905118,-0.010347128,-1.0723121
1.7886317,-0.008704644,-1.0720067
1.78669,-0.0070215026,-1.0716922
1.7851824,-0.0063304324,-1.0714995
1.7838678,-0.007173026,-1.0714517
1.7818375,-0.004629227,-1.0710578
1.7797399,-0.0028173227,-1.0707188
1.7782142,-0.0028692372,-1.0705861
1.776331,-0.0011915943,-1.0702775
1.7748796,-0.0012608093,-1.070153
1.7728729,0.00043406384,-1.0698318
1.771368,0.00040204765,-1.0696995
1.7679616,0.0009841307,-1.0693455
1.766346,0.0017744175,-1.0691346
1.7643945,0.003489008,-1.0688169
1.76304,0.002573637,-1.0687714
1.7610447,0.005073459,-1.0683844
1.7598646,0.004143693,-1.0683558
1.7582586,0.00433963,-1.0681953
1.7563438,0.00705582,-1.0677975
1.755015,0.006436573,-1.0677298
1.753168,0.008387075,-1.0674016
1.7515569,0.008677689,-1.067233
1.7498606,0.0089229755,-1.0670602
1.7478161,0.011645904,-1.0666502
1.7464962,0.011091229,-1.0665779
1.744495,0.012885997,-1.066249
1.7431264,0.0131688975,-1.0661026
1.7415254,0.013317325,-1.0659466
1.7397225,0.015184201,-1.0656295
1.7383198,0.0153207835,-1.0654922
1.7366946,0.015585318,-1.0653243
1.7349365,0.017361231,-1.0650189
1.7335074,0.017427647,-1.064885
1.7320423,0.017680187,-1.0647326
1.7304859,0.01788212,-1.0645761
1.7286642,0.019643197,-1.064266
1.7271082,0.019817568,-1.064112
1.7253857,0.02024826,-1.0639215
1.7234089,0.023091368,-1.0635074
1.7220347,0.022715164,-1.0634155
1.7205656,0.02315782,-1.0632467
1.7186389,0.02528099,-1.0628972
1.7171066,0.02567889,-1.0627265
1.7156632,0.026056942,-1.0625656
1.7142618,0.026314741,-1.0624183
1.7124293,0.028327318,-1.0620863
1.710979,0.028643979,-1.06193
1.7093488,0.029044995,-1.0617502
1.7057911,0.030812956,-1.0612838
1.7042756,0.031108312,-1.0611233
1.70274,0.031431165,-1.0609586
1.7010577,0.031835698,-1.060774
1.6991221,0.033853978,-1.0604322
1.6977205,0.034156155,-1.0602814
1.6960814,0.034415536,-1.0601127
1.6944207,0.035600364,-1.059865
1.6928837,0.035937615,-1.059699
1.6914067,0.03635276,-1.0595319
1.6898253,0.03677927,-1.0593545
1.6879029,0.038833365,-1.0590111
1.6862663,0.039273575,-1.0588276
1.6831143,0.039305843,-1.058542
1.6814053,0.039766476,-1.0583503
