r11,r21,r12,r22,tx,ty
1.0014,0.00169703,-0.000512692,1.00074,17.1223,-4.79752
1.00142,0.00195676,-0.000399154,1.0006,17.7292,-4.28754
1.00156,0.001716,-0.000354906,1.00086,18.4359,-3.91081
1.00161,0.00174759,-0.000361995,1.00091,18.7867,-3.57507
1.00158,0.00192105,-0.000288524,1.00092,19.5067,-3.08533
1.0015,0.0019965,-0.000407041,1.00087,19.8468,-2.80272
1.00145,0.00205234,-0.00038032,1.00064,20.5042,-2.75949
1.00131,0.00202202,-0.000307016,1.00067,21.0399,-2.13492
1.00127,0.00208588,-0.00027041,1.00062,21.1869,-1.90309
1.00128,0.00200779,-0.000404949,1.00064,21.4712,-1.47103
1.00132,0.00198229,-0.000160714,1.00077,21.6176,-1.05956
1.00144,0.00213497,-0.000192366,1.00071,21.8727,-1.22439
1.00146,0.00188493,-0.000277127,1.00093,21.9165,-1.32449
1.00138,0.00212823,-0.000235328,1.00066,22.4265,-0.99484
1.00122,0.00205743,-0.000277724,1.00072,22.6595,-0.754548
1.00118,0.00215906,-0.000277535,1.00055,22.9604,-0.663337
1.00103,0.00207794,-0.000117593,1.00051,22.8685,-0.359756
1.00101,0.00203626,-0.000211749,1.00038,23.0998,-0.272886
1.00103,0.00217503,-0.000163264,1.00049,23.3477,-0.199338
1.001,0.00188837,-8.53759e-05,1.00046,23.3295,-0.189961
1.00103,0.00229233,-0.000136529,1.00031,23.563,-0.13829
1.00118,0.00191909,0.000246875,1.00049,27.3525,0.0965038
1.00106,0.00142211,0.000387258,1.00064,24.1428,1.23029
1.0009,0.00145005,-0.000223366,1.00044,20.2951,1.73313
1.00065,0.00141982,-0.000231882,1.00029,17.1943,1.8956
1.00033,0.00109443,-0.000243826,1.00001,13.5672,2.25253
0.999937,0.000869379,-0.000113428,0.99981,10.6482,2.06926
0.999612,0.000466783,-0.000247814,0.999384,7.2405,1.72656
0.99928,-0.000242522,0.000116442,0.999279,2.30306,0.821482
0.998858,-0.00011433,1.55594e-05,0.999053,-0.577614,0.333384
0.998649,2.83452e-05,-0.000216093,0.998749,-1.17749,0.158445
0.998496,4.70124e-05,-0.0001079,0.9985,-1.49571,0.137612
0.998381,-0.000243015,6.74854e-05,0.998546,-1.65234,-0.00466099
0.998443,-5.54217e-05,8.99746e-05,0.99851,-1.79284,-0.192641
0.998747,-0.000183853,0.000108393,0.99867,-1.66445,-0.335737
0.999264,6.37238e-06,-1.40714e-05,0.999487,-1.51027,-0.156804
0.999675,-0.000142551,-1.40029e-05,0.999781,-1.27607,0.0130833
1.00009,-2.42726e-05,-3.76912e-06,1.00002,-1.17681,0.0250592
1.00022,1.05549e-05,-2.52326e-05,1.00024,-1.04203,0.0632428
1.00025,-1.74108e-05,7.34769e-07,1.00021,-0.788413,0.0476913
1.00028,7.75825e-05,2.52983e-06,1.00018,-0.613568,0.0635976
1.00024,-3.79277e-05,-2.50528e-06,1.00017,-0.496217,0.00284517
1.00027,2.896e-05,-2.73633e-05,1.00023,-0.340928,-0.0627144
1.00038,8.34384e-05,-4.94988e-05,1.00021,-0.602765,0.0337309
1.00037,4.51285e-05,-6.94187e-06,1.00024,-0.462476,-0.00308557
1.00044,-8.76522e-05,2.8532e-05,1.00037,-0.429654,-0.0287598
1.00044,1.33809e-05,-2.22403e-06,1.00037,-0.297065,0.0416889
1.00053,3.13696e-06,-3.71307e-05,1.00042,-0.430377,0.0528809
1.00053,3.67073e-06,-2.23727e-05,1.0004,-0.369817,0.0159031
1.00045,0.000140797,-6.30654e-05,1.00048,-0.345005,0.148505
1.00031,7.0075e-06,-2.30586e-06,1.00024,-0.277805,0.0244119
1.00017,0.000105566,-0.000181035,1.00032,-0.140716,-0.264376
1.00008,0.000181563,-9.42072e-05,1.00007,-0.243875,0.0364219
1.0,-8.35138e-05,-9.00107e-05,0.999997,-1.13061,0.0598639
1.0004,0.000271173,0.000186202,1.0003,1.38648,-0.178341
1.00053,0.000267733,0.000278473,1.00031,4.50037,-0.222023
1.00068,0.000301109,0.000309686,1.00054,6.33919,-0.512791
1.00111,0.00042502,0.000277073,1.00096,7.7253,-0.639223
1.00109,0.000631981,0.000237947,1.001,9.41217,-0.359858
1.00102,0.000670436,0.000274123,1.00073,10.7881,0.0635748
1.00113,0.00108893,0.000223765,1.00095,12.3641,0.156547
1.00134,0.00103,0.000176401,1.00101,13.5474,0.138881
1.00133,0.000992344,9.79744e-05,1.0012,14.2549,0.401419
1.00127,0.00117229,0.000276866,1.00113,15.2989,0.729114
1.00119,0.00143154,0.000106856,1.00104,16.4234,0.71769
1.00134,0.00143989,0.000209495,1.00082,19.5903,0.948398
1.00119,0.00104139,0.000135143,1.00089,16.1797,1.30766
1.00102,0.0013973,-0.000587339,1.00111,13.6147,2.78427
1.00089,0.00146721,-0.000453418,1.00114,11.802,4.5998
1.00089,0.00116596,-0.000439714,1.00124,10.1536,5.74954
1.0006,0.000379453,-6.12166e-05,1.00131,6.04823,7.14854
1.00048,0.00177711,-0.00116769,1.00136,5.1414,8.58592
1.00037,0.0015142,-0.00088871,1.00128,5.58338,9.9529
1.00002,0.00162079,-0.000932298,1.00097,5.74832,11.3072
0.999596,0.00114263,-0.000347889,1.00049,6.83382,12.8976
0.999552,0.000283972,0.000224157,1.00025,4.51605,10.9963
0.99937,0.000297329,0.000380432,0.999873,4.48944,8.46887
0.999226,0.000950463,-0.000132077,0.999595,6.81412,7.02945
0.999281,0.000912137,0.000138041,0.999393,8.22518,5.47641
0.999663,0.000513743,0.00023467,0.999499,9.28291,3.46591
1.00015,0.000917261,0.000187923,1.00005,9.93759,1.54985
1.00067,0.000774348,0.000134928,1.00032,10.803,-0.0642709
1.00107,0.000763692,0.000178176,1.00062,11.7321,-1.70585
1.00126,0.000849442,0.000207491,1.00074,12.2295,-2.91499
1.00124,0.000776666,0.000250121,1.0005,13.0283,-4.34507
1.00116,0.000981246,0.000168881,1.00045,13.6471,-5.42724
1.00102,0.001039,0.000138153,1.00016,13.9883,-6.41573
1.00087,0.00120446,4.99405e-06,0.999972,14.6544,-7.00092
1.0008,0.00118604,-4.27304e-05,0.999759,15.3717,-7.76424
1.00084,0.00116693,-7.7109e-05,0.999736,15.9712,-8.60312
1.00084,0.00149058,-0.000178369,0.999733,16.7529,-9.09031
1.00081,0.00128679,-0.000207069,0.999767,17.3638,-9.04803
1.00091,0.00174688,-0.000303343,0.99971,18.2738,-9.23282
1.00093,0.00185835,-0.000464556,0.999851,19.0663,-8.73284
1.00093,0.00201527,-0.000458942,1.00001,19.4381,-7.91994
1.00101,0.00203384,-0.000426756,0.999951,20.148,-7.41646
1.00106,0.00184026,-0.000320135,1.00023,20.429,-6.23775
1.00109,0.00181239,-0.00024428,1.00018,20.7254,-5.81863
1.00113,0.00188954,-7.39811e-05,1.00033,21.1938,-5.15
1.001,0.00166566,-0.000108066,1.00025,21.5639,-4.4504
1.00085,0.00194277,-9.52981e-05,1.00003,21.8214,-4.29293
1.00071,0.00190221,-0.000218278,0.999933,22.1882,-3.8442
1.00064,0.00194079,-4.80669e-05,1.00006,22.37,-3.11955
1.00059,0.0019872,-8.87327e-05,0.999923,22.832,-2.7525
1.00053,0.00194873,3.69843e-05,0.999805,22.6298,-2.35201
1.00062,0.0018948,-9.57919e-05,0.999963,22.9375,-1.94121
1.00062,0.00176745,7.29701e-05,1.00008,23.0903,-1.50416
1.00069,0.0019381,0.000109061,1.00014,23.0219,-1.40103
1.00076,0.00192504,4.50182e-05,1.00026,23.1357,-1.13745
