theta,tx,ty
-6.62855e-05,2.56989,-0.347555
1.2569e-05,2.50819,-0.310558
-4.1886e-05,2.64861,-0.280562
-5.54575e-05,2.5764,-0.324924
3.35535e-05,2.52915,-0.304002
-4.6995e-05,2.5095,-0.284156
-2.3974e-05,2.53576,-0.237523
-2.80352e-05,2.67582,-0.211593
-1.47781e-05,2.65776,-0.219383
1.08767e-05,2.68278,-0.231958
-2.29975e-05,2.58365,-0.281242
2.18985e-05,2.48784,-0.292985
1.94829e-05,2.51879,-0.317128
-4.13949e-05,2.46247,-0.416101
-2.2728e-06,2.4684,-0.454014
1.34255e-05,2.43838,-0.460719
3.68102e-05,2.45692,-0.449603
-1.32488e-05,2.41266,-0.480785
3.64906e-05,2.5768,-0.493976
0.000111211,2.50088,-0.560608
2.3623e-05,2.43796,-0.553104
3.00117e-05,2.35475,-0.582263
1.31596e-05,2.43985,-0.543678
-3.52389e-05,2.42665,-0.663277
4.32389e-05,2.34889,-0.626838
-2.98774e-06,2.4795,-0.662562
-3.66928e-05,2.4171,-0.675057
7.98727e-06,2.44701,-0.668527
-8.97885e-06,2.47113,-0.68749
-1.10792e-05,2.50107,-0.742156
-2.09888e-05,2.32781,-0.740068
-3.7594e-06,2.39659,-0.729855
-2.979e-05,2.46214,-0.730228
-1.91796e-06,2.41272,-0.765949
-3.99057e-06,2.43155,-0.771122
8.6763e-06,2.43669,-0.822732
1.20654e-05,2.37288,-0.90073
8.93919e-06,2.49428,-0.805313
-6.02732e-05,2.41378,-0.807671
-1.19233e-05,2.42906,-0.885357
-3.95724e-06,2.44234,-0.943196
-2.07409e-06,2.39751,-0.893973
-4.67698e-06,2.40614,-0.939833
1.32439e-05,2.31538,-0.937565
9.25612e-06,2.42329,-0.981299
-1.28479e-05,2.43946,-0.956842
-2.31799e-05,2.32154,-0.980707
2.51091e-05,2.35163,-0.988088
1.60382e-05,2.3807,-1.00153
-2.87077e-05,2.40677,-0.994972
-3.94823e-05,2.26374,-1.0073
-8.79455e-05,2.33737,-1.02988
-2.30961e-05,2.34698,-0.999227
-4.44692e-05,2.35451,-1.03723
-3.10272e-05,2.31718,-1.02537
-3.56687e-05,2.38541,-1.08666
-1.08041e-05,2.40585,-1.06927
-4.0592e-05,2.32765,-1.10173
9.89458e-06,2.33571,-1.1384
-7.42815e-05,2.39031,-1.10758
-2.69519e-05,2.31651,-1.08939
-3.86848e-06,2.24538,-1.17334
-2.40664e-05,2.26978,-1.16432
-6.05007e-05,2.30669,-1.19164
-5.82607e-05,2.28763,-1.15649
9.1346e-06,2.28364,-1.21919
-3.1228e-05,2.29686,-1.23745
-5.19726e-05,2.31838,-1.2677
-4.56683e-05,2.3139,-1.24668
